,Quelle,Keyword,Kategorie
0,,1. A Review on Multi-Objective Mixed-Integer Non-Linear,Fachliteratur
1,,Multi-objective optimization,Fachliteratur
2,,Mixed-integer programming,Fachliteratur
3,,Non-linear programming,Fachliteratur
4,,MO-MINLP,Fachliteratur
5,,Exact methods,Fachliteratur
6,,Approximate methods,Fachliteratur
7,,Hybrid methods,Fachliteratur
8,,Scalarization,Fachliteratur
9,,Pareto front,Fachliteratur
10,,Weighted sum method,Fachliteratur
11,,ϵ-constraint method - Epsilon-Beschränkungsmethode,Fachliteratur
12,,Pascoletti,Fachliteratur
13,,Normal Boundary Intersection,Fachliteratur
14,,Branch and Bound,Fachliteratur
17,,NSGA-II,Fachliteratur
18,,Tabu Search,Fachliteratur
19,,Decomposition,Fachliteratur
20,,Indicator-based,Fachliteratur
21,,Dominance,Fachliteratur
22,,Engineering applications,Fachliteratur
23,,Optimization problem,Fachliteratur
24,,Constraint handling,Fachliteratur
25,,Objective function,Fachliteratur
26,,Combinatorial explosion,Fachliteratur
27,,Convergence,Fachliteratur
28,,Computational cost,Fachliteratur
31,,2. An integer programming approach for the physician,Fachliteratur
32,,Integer programming,Fachliteratur
33,,Scheduling problem,Fachliteratur
34,,Shift,Fachliteratur
35,,Constraints,Fachliteratur
36,,Decision variables,Fachliteratur
37,,Workload balance,Fachliteratur
38,,Coverage requirements,Fachliteratur
39,,Day-off constraints,Fachliteratur
41,,Feasible solutions - zulässige Lösungen,Fachliteratur
42,,Night shifts,Fachliteratur
43,,Weekend constraints,Fachliteratur
46,,Fairness,Fachliteratur
47,,Penalty terms,Fachliteratur
48,,Matheuristic,Fachliteratur
49,,Legal restrictions - Gesetzliche Vorgaben,Fachliteratur
50,,Planning horizon,Fachliteratur
62,,3. An Innovative Formulation Tightening Approach for Job-Shop Scheduling,Fachliteratur
63,,Job-shop scheduling	Werkstattplanung,Fachliteratur
64,,Integer linear programming,Fachliteratur
