Model,Chats,TP,FP,FN,Precision,Recall,F1
chat-gpt,378,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
deepseek-r1,6,0,0,0,0.0,0.0,0.0
deepseek-r1-32b,9,278,9608,16642,0.0281205745498685,0.016430260047281323,0.02074162500932627
deepseek-r1-8b,9,173,31311,16747,0.005494854529284716,0.010224586288416075,0.0071481695727625815
dolphin3-8b,19,436,11499,44684,0.036531210724759115,0.009663120567375887,0.01528349837875734
gemini,63,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
gemma3,6,0,0,0,0.0,0.0,0.0
gemma3-1b,6,153,5042,11127,0.029451395572666024,0.013563829787234043,0.018573596358118363
gemma3-27b,20,685,21123,48665,0.03141049156272927,0.013880445795339412,0.01925293009921583
llama3.3,6,0,0,0,0.0,0.0,0.0
meta-ai,63,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
mistral,72,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
mistral-7.2b,6,120,2085,11160,0.05442176870748299,0.010638297872340425,0.017797552836484983
mistral-small3.1,6,0,0,0,0.0,0.0,0.0
mistral-small3.1-24b,6,109,2485,11171,0.042020046260601386,0.009663120567375887,0.015712844168949112
mistral-small3.2-24b,18,455,12145,40435,0.03611111111111111,0.011127415015896307,0.017012525705739388
ms-copilot,63,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
phi4-14b,18,544,14042,40346,0.037296037296037296,0.01330398630471998,0.019612084505011177
qwen,63,144,3795,131456,0.03655750190403656,0.001094224924012158,0.002124849674263496
qwen3,6,0,0,0,0.0,0.0,0.0
qwen3-32b,18,676,22910,40214,0.02866107012634614,0.016532159452188798,0.020969042744587132
