ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Team Size Limit,Teams must have at least 3 and at most 9 members,TeamSizeLimit,Team,Min,🟢
C02,Employee Availability,Employees assigned to tasks must be available during the sprint,EmployeeAvailability,Worker / Employee,Min,🟢
C03,Skill Match for Tasks,Assigned employees must have required skills for the tasks,SkillMatch,Worker / Employee, Task / Sub-Task,Min,🟢
C04,Sprint Duration,Sprints must last exactly between 1 to 4 weeks,SprintDuration,Sprint,Min,🟢
C05,Product Backlog Status,Product Backlog must be in active status to assign features,BacklogStatusActive,Product Backlog,Min,🟢
C06,Task Status for Sprint Backlog,Only tasks with status 'Ready' or 'In Progress' can be in Sprint Backlog,TaskStatusSprintBacklog,Task / Sub-Task,Min,🟢
C07,Max Workload per Employee,No employee should be assigned more than 40 effort points per sprint,MaxEmployeeWorkload,Worker / Employee,Max,🟡
C08,Feature Priority Order,Features in Product Backlog should follow priority order,FeaturePriorityOrder,Feature,Min,🟡
C09,Scrum Master Support,Every team must be supported by exactly one Scrum Master,ScrumMasterAssignment,Team,Min,🟢
C10,User Story Acceptance Criteria,User stories must have defined acceptance criteria before sprint assignment,UserStoryCriteriaDefined,User Story,Min,🟢
