ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,num_developers_assigned,Number of team members assigned per project,num_developers,Project;Team,Integer,3,15
DV2,sprint_length_days,Length of each sprint in days,sprint_length,Sprint,Integer,7,28
DV3,story_points_per_sprint,Total story points planned per sprint,story_points,Sprint,Integer,10,100
DV4,budget_allocation,Monetary budget allocated per sprint,budget_sprint,Sprint;Project,Float,0,100000
DV5,num_testers_assigned,Number of testers assigned per project,num_testers,Project;Team,Integer,1,5
DV6,features_in_sprint,Number of features selected each sprint,features_selected,Sprint Backlog,Integer,1,20
DV7,tasks_per_developer,Average number of tasks per developer,tasks_per_dev,Worker / Employee;Sprint,Float,1,10
DV8,epic_split_count,Number of user stories generated per epic,story_count,Epic,Integer,1,10
DV9,budget_per_feature,Monetary budget allocated per feature,budget_feature,Feature;Release Plan,Float,0,50000
DV10,allowed_overtime_hours,Max overtime hours permitted per developer per sprint,overtime_limit,Worker / Employee;Sprint,Integer,0,10
