ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Sprint Velocity,Increase average story points completed per sprint,maximize_velocity,Sprint,Max,🟡
G2,Minimize Bug Count,Reduce the number of unresolved bugs at sprint end,minimize_bugs,Blocker / Problem / Bug,Min,🟢
G3,Maximize Customer Satisfaction,Achieve highest stakeholder satisfaction scores,maximize_customer_satisfaction,Sprint Review,Max,🟡
G4,Minimize Sprint Overrun,Keep sprint actual duration within planned timeframe,minimize_sprint_overrun,Sprint,Min,🟢
G5,Maximize Feature Throughput,Increase number of features released per release,maximize_feature_throughput,Release Plan,Max,🟡
G6,Minimize Cycle Time,Reduce average time from story creation to deployment,minimize_cycle_time,User Story,Min,🟢
G7,Maximize Team Utilization,Keep team members productively engaged,maximize_utilization,Team,Max,🟡
G8,Minimize Context Switches,Limit the number of task reassignments per sprint,minimize_context_switches,Task / Sub-Task,Min,🟢
G9,Maximize Backlog Health,Keep product backlog well-groomed and prioritized,maximize_backlog_health,Product Backlog,Max,🟡
G10,Minimize Release Defects,Reduce number of defects found post-release,minimize_release_defects,Development Snapshot,Min,🟢
G11,Maximize Roadmap Adherence,Stay on track with planned milestones,maximize_roadmap_adherence,Roadmap,Max,🟡
