ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,Team Size,Number of members in a team,team_size,Team,Integer,3,9
DV02,Project Budget,Budget allocated to a project,project_budget,Project,Float,10000,1000000
DV03,Task Effort,Effort estimated per task,task_effort,Task / Sub-Task,Integer,1,13
DV04,Sprint Duration,Duration of a sprint in days,sprint_duration,Sprint,Integer,7,30
DV05,Story Points per Sprint,Total story points to complete per sprint,story_points_sprint,Sprint,Integer,10,100
DV06,Velocity Trend Indicator,Rate of change in velocity over time,velocity_trend,Velocity,Float,-1.0,1.0
DV07,Developer Availability,Percentage availability of an employee,developer_availability,Employee,Float,0.0,1.0
DV08,Stakeholder Influence,Level of stakeholder influence,stakeholder_influence,Stakeholder,Integer,1,10
DV09,Number of Tasks per Sprint,Total number of tasks planned per sprint,task_count_sprint,Sprint Backlog,Integer,5,100
DV10,Skill Level,Expertise level of a skill,skill_level,Skill / Competence,Integer,1,5
