ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,ensure_worker_capacity,No worker should be over capacity,False,,,Worker,availability,2,1.0
C1,ensure_task_assignment,Every task must be assigned to at least one worker,False,,,Task,status,2,1.0
C2,ensure_feature_dependencies,All feature dependencies must be met before implementation,False,,,Feature,priority,2,1.0
C3,ensure_sprint_backlog_status,Sprint backlog status must be active during sprint,False,,,SprintBacklog,status,2,1.0
C4,ensure_blocker_resolution,Blockers must have a resolution date within 7 days of detection,False,,,Blocker,resolved_on,2,1.0
C5,ensure_sprint_plan_completion,Sprint plan completion rate should be at least 80%,False,,,SprintBacklog,status,2,1.0
C6,ensure_stakeholder_participation,At least 5 stakeholders must participate in sprint review,False,,,SprintReview,attendees_count,2,1.0
C7,ensure_sprint_velocity_consistency,Sprint velocity should not vary more than 10% from previous sprints,False,,,Velocity,trend,2,1.0
C8,ensure_feature_implementation_order,High-priority features must be implemented before low-priority ones,False,,,Feature,priority,2,1.0
C9,ensure_team_location_consistency,Team members should not have conflicting locations,False,,,Worker,location,2,1.0
