ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,assign_tasks_to_sprint,Assign tasks to sprint,Boolean,{True,False},0,1
D1,set_task_effort,Set task effort,Integer,[0,100],0,100
D2,prioritize_features,Prioritize features,Integer,[0,5],0,5
D3,assign_workers_to_team,Assign workers to team,Boolean,{True,False},0,1
D4,set_sprint_duration,Set sprint duration,Integer,[1,4],1,4
D5,assign_userstories_to_backlog,Assign user stories to backlog,Boolean,{True,False},0,1
D6,set_velocity_target,Set velocity target,Integer,[10,50],10,50
D7,assign_epics_to_sprint,Assign epics to sprint,Boolean,{True,False},0,1
D8,prioritize_epics,Prioritize epics,Integer,[0,5],0,5
D9,assign_stakeholders_to_review,Assign stakeholders to review,Boolean,{True,False},0,1
