ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,TM_satisfaction_score,Team satisfaction score,Ordinal,5-20,3,7
D1,XPK_task_effort_mean,Task effort mean in XPK,Number,5.0 to 20.0,5.0,15.0
D2,Sprint_goal_achievement_percentage,Percentage of achieved sprint goals,Number,0% to 100%,0,100
D3,Task_blocker_impact,Severity level of blockers assigned to tasks,Ordinal,High-Major,High,Major
D4,TSPK_workload_balance_mean,Workload balance mean in TSPK,Number,5.0 to 20.0,5.0,15.0
D5,Sprint_backlog_size,Size of Sprint Backlog,Number,5-30,5,30
D6,ScrumMaster_moderation_frequency,Moderation frequency,Ordinal,Daily-Monthly,Daily,Monthly
D7,Velocity_mean,Mean velocity achieved in sprints,Number,4 to 12,4,12
D8,Task_duration_mean,Average task duration mean,Number,5-30 minutes,5,30
D9,Project_status_prio_mean,Project priority average,Ordinal,Low-Medium-High,Medium,Medium
