ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G001,maximize_project_deliverables,Maximize the delivery of project deliverables,1,min,Project,Project,1,1,1
G002,minimize_costs,Minimize project costs,1,1,Project,Project,1,1,1
G003,improve_user_experience,Improve user experience,1,1,Product,Product,1,1,1
G004,increase_efficiency,Increase team efficiency,1,1,Project,Team,1,1,1
G005,reduce_risk,Reduce project risks,1,1,Project,Project,1,1,1
G006,expand_scope,Expand the project scope,1,1,Project,Project,1,1,1
G007,improve_quality,Improve product quality,1,1,Project,Feature,1,1,1
G008,increase_adoption,Increase product adoption,1,1,Product,Team,1,1,1
G009,enhance_collaboration,Improve team collaboration,1,1,Project,Team,1,1,1
G010,maximize_feature_quality,Maximize feature quality,1,1,Feature,Feature,1,1,1
G011,minimize_bug_count,Minimize bug count,1,1,Feature,Feature,1,1,1
G012,optimize_timeline,Optimize project timeline,1,1,Project,Team,1,1,1
G013,improve_time_to_market,Improve time to market,1,1,Feature,Feature,1,1,1
G014,enhance_bug_resolution,Enhance bug resolution,1,1,Feature,Feature,1,1,1
G015,increase_visibility,Increase visibility,1,1,Feature,Feature,1,1,1
G016,improve_team_work_flow,Improve team workflow,1,1,Project,Team,1,1,1
G017,enhance_product_quality,Enhance product quality,1,1,Feature,Feature,1,1,1
G018,improve_feature_coverage,Improve feature coverage,1,1,Feature,Feature,1,1,1
G019,enhance_user_satisfaction,Enhance user satisfaction,1,1,Product,Team,1,1,1
G020,maximize_budget_spent,Maximize budget spent,1,1,Project,Project,1,1,1
