ID,Type,Name,Description,CriteriaType
1,🟡Maximize Team Velocity,"Increase the average amount of work (Story Points) completed by a team per sprint.",1
2,🟢Minimize Blocked Tasks,"Reduce the number of tasks blocked by bugs or impediments, ensuring smooth workflow.",2
3,🔴Avoid Overcommitment,"Prevent teams from accepting more work in a sprint than they can realistically complete.",0
4,🟡Enhance Stakeholder Satisfaction,"Improve stakeholder engagement and ensure their feedback is incorporated into the development process.",1
5,🟢Maintain High Code Quality,"Ensure the development process generates high-quality, well-tested code with minimal defects.",2
6,🔴Prevent Technical Debt Accumulation,"Minimize the build-up of technical debt, as it can hinder future development efforts.",0
7,🟡Optimize Sprint Goal Achievement,"Maximize the percentage of sprint goals successfully achieved.",1
8,🟢Minimize Sprint Backlog Changes,"Reduce unnecessary changes to the sprint backlog during the sprint.",2
9,🔴Avoid Resource Conflicts,"Ensure that team members are not simultaneously assigned to multiple critical tasks.",0
10,🟡Maximize Feature Documentation Coverage,"Ensure that all features have sufficient and up-to-date documentation.",1
11,🟢Minimize Time to Resolve Bugs,"Reduce the average time it takes to resolve reported bugs.",2
12,🔴Avoid Overlapping Dependencies,"Prevent complex dependencies between User Stories that cause delays.",0
13,🟡Maximize Stakeholder Participation in Sprint Reviews,"Encourage active participation from stakeholders during sprint review meetings.",1
14,🟢Minimize Effort for Bug Fixing,"Reduce the total effort required to fix bugs.",2
15,🔴Avoid Unnecessary Feature Complexity,"Prevent features from becoming overly complex.",0
