Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,"Optimization problems where the objective function and constraints are linear.","Generally solvable in polynomial time (using methods like Simplex or Interior Point).", "Maximize 3x + 2y subject to x + y <= 4, x >= 0, y >= 0",10
2,Integer Programming,IP,"Linear programming where some or all variables are restricted to integer values.","NP-hard (often solved with branch and bound, cutting planes)", "Maximize 2x + 3y, where x and y are integers, subject to x + y <= 5",9
3,Combinatorial Optimization,CO,"Finding the best solution from a finite set of possible solutions, often dealing with discrete choices.","Often NP-hard (solved with heuristics, branch and bound, dynamic programming)", "Traveling Salesperson Problem (TSP)",8
4,Nonlinear Programming,NLP,"Optimization problems where the objective function or constraints are nonlinear.", "Generally difficult; often requires local optimization methods.", "Minimize x^2 + y^2 subject to x + y = 1",7
5,Dynamic Programming,DP,"Breaking down a complex problem into smaller overlapping subproblems and solving each subproblem only once.", "Generally solvable in polynomial time if subproblems are well-defined.", "Shortest path in a graph",6
6,Convex Optimization,CO,"Optimization problems where the objective function is convex and the feasible region is convex.","Generally solvable in polynomial time with efficient algorithms.", "Support Vector Machines (SVM) training",5
7,Gradient Descent,GD,"Iterative optimization algorithm used to find the minimum of a function.","Guaranteed to converge to a local minimum (not necessarily global).", "Training neural networks",5
8,Constraint Satisfaction Problem,CSP,"Finding values for variables that satisfy a set of constraints.","NP-hard (solved with backtracking, constraint propagation)", "Sudoku puzzle",4
9,Mixed-Integer Programming,MIP,"Combination of linear and integer programming.","NP-hard (solved with branch and bound)", "Production planning with fixed costs",4
10,Quadratic Programming,QP,"Optimization problem where the objective function is quadratic, and constraints are linear.","Solvable in polynomial time for certain cases; generally more difficult than LP.", "Portfolio optimization with variance minimization",3
11,Stochastic Optimization,SO,"Optimization under uncertainty, where some parameters are random variables.", "Difficult; often requires simulation or approximation methods.", "Portfolio optimization with uncertain returns",2
12,Global Optimization,GO,"Finding the global optimum of a function, rather than a local optimum.", "Very difficult; often requires heuristics or metaheuristics.", "Finding the best parameters for a complex model",2
13,Multi-objective Optimization,MOO,"Optimizing multiple conflicting objectives simultaneously.", "Often results in a set of Pareto optimal solutions.", "Designing a product with trade-offs between cost, performance, and reliability",1
14,Genetic Algorithms,GA,"Evolutionary algorithm inspired by natural selection.", "Heuristic; does not guarantee an optimal solution.", "Parameter tuning, feature selection",1
15,Simulated Annealing,SA,"Probabilistic technique for approximating the global optimum of a given function.","Heuristic; does not guarantee an optimal solution.", "Travelling Salesman Problem",1
