ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,maximize_SprintGoalAchievement,Increase the percentage of Sprint Goals achieved,True,max,"SprintGoal","achievement_status",1,"0.8"
C1,maximize_Velocity,Increase the average story points per sprint,True,max,"Velocity","avg._story_points",1,"0.8"
C2,maximize_FeatureCompletion,Increase the number of completed features,True,max,"Feature","status",1,"0.8"
C3,maximize_UserStoryCompletion,Increase the number of completed user stories,True,max,"UserStory","status",1,"0.8"
C4,minimize_BlockerImpact,Reduce the number of blocked tasks,True,min,"Task","status",1,"0.8"
C5,maximize_SprintGoalAchievement,Increase the percentage of Sprint Goals achieved,True,max,"SprintGoal","achievement_status",1,"0.8"
C6,minimize_BlockerImpact,Reduce the number of blocked tasks,True,min,"Task","status",1,"0.8"
C7,maximize_Velocity,Increase the average story points per sprint,True,max,"Velocity","avg._story_points",1,"0.8"
C8,maximize_FeatureCompletion,Increase the number of completed features,True,max,"Feature","status",1,"0.8"
C9,minimize_BlockerImpact,Reduce the number of blocked tasks,True,min,"Task","status",1,"0.8"
C10,maximize_Velocity,Increase the average story points per sprint,True,max,"Velocity","avg._story_points",1,"0.8"
C11,minimize_BlockerImpact,Reduce the number of blocked tasks,True,min,"Task","status",1,"0.8"
C12,maximize_SprintGoalAchievement,Increase the percentage of Sprint Goals achieved,True,max,"SprintGoal","achievement_status",1,"0.8"
C13,minimize_BlockerImpact,Reduce the number of blocked tasks,True,min,"Task","status",1,"0.8"
C14,maximize_Velocity,Increase the average story points per sprint,True,max,"Velocity","avg._story_points",1,"0.8"
C15,maximize_SprintGoalAchievement,Increase the percentage of Sprint Goals achieved,True,max,"SprintGoal","achievement_status",1,"0.8"
