ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,Velocity,Average story points per sprint,float,"{0.5,2.0}",0.5,2.0
DV1,StoryPoints,Story points per User Story,float,"{1,10}",1,10
DV2,Effort,Effort in story points,float,"{1,10}",1,10
DV3,TaskDuration,Duration of a task,float,"{0.5,10}",0.5,10
DV4,SprintDuration,Sprint duration,float,"{1,14}",1,14
DV5,TeamSize,Team Size,int,"{1,10}",1,10
DV6,NumberOfTasks,Number of tasks,int,"{1,10}",1,10
DV7,Velocity,Average story points per sprint,float,"{0.5,2.0}",0.5,2.0
DV8,StoryPoints,Story points per User Story,float,"{1,10}",1,10
DV9,Effort,Effort in story points,float,"{1,10}",1,10
DV10,TaskDuration,Duration of a task,float,"{0.5,10}",0.5,10
DV11,SprintDuration,Sprint duration,float,"{1,14}",1,14
DV12,TeamSize,Team Size,int,"{1,10}",1,10
DV13,NumberOfTasks,Number of tasks,int,"{1,10}",1,10
DV14,Velocity,Average story points per sprint,float,"{0.5,2.0}",0.5,2.0
DV15,StoryPoints,Story points per User Story,float,"{1,10}",1,10
DV16,Effort,Effort in story points,float,"{1,10}",1,10
DV17,TaskDuration,Duration of a task,float,"{0.5,10}",0.5,10
DV18,SprintDuration,Sprint duration,float,"{1,14}",1,14
DV19,TeamSize,Team Size,int,"{1,10}",1,10
DV20,NumberOfTasks,Number of tasks,int,"{1,10}",1,10
