ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,avg_story_points,Average story points per user story,Float,[0.0,100.0],0.0,100.0
DV1,sprint_duration,Sprint duration in days,Integer,[1,21],1,21
DV2,team_size,Number of team members,Integer,[1,10],1,10
DV3,story_points,Story points assigned,Float,[0.0,100.0],0.0,100.0
DV4,feature_delivery_rate,Features delivered per release,Float,[0.0,10.0],0.0,10.0
DV5,skill_level,Employee skill level,Integer,[1,5],1,5
DV6,user_story_count,Number of User Stories,Integer,[0,100],0,100
DV7,task_effort,Task Effort in hours,Float,[0.0,40.0],0.0,40.0
DV8,blocker_severity,Blocker Severity,Integer,[1,5],1,5
DV9,skill_certification,Employee Skill Certification,Boolean,[True,False],True,False
DV10,story_points_allocated,Story points for a feature,Float,[0.0,100.0],0.0,100.0
DV11,task_complexity,Task Complexity Index,Float,[0.0,10.0],0.0,10.0
DV12,blocker_resolution_time,Blocker Resolution Time in Days,Float,[0.0,30.0],0.0,30.0
