Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Method to optimize a linear objective function subject to linear constraints.,Easy,Production planning,10
2,Integer Programming,IP,Similar to LP but with integer variables, allowing for whole numbers of items.,Hard,Cutting stock problem,9
3,Dynamic Programming,DP,Method for solving complex problems by breaking them down into simpler subproblems.,Moderate,Shortest path problems,8
4,Quadratic Programming,QP,Optimization technique where the objective function is quadratic and the constraints are linear.,Easy,Portfolio optimization,7
5,Convex Optimization,CVO,A type of optimization problem where the objective function is convex and the constraints form a convex set.,Moderate,Signal processing,6
6,Non-Linear Programming,NLP,Optimization problems with nonlinear objective functions or constraints.,Hard,Chemical process control,5
7,Mixed-Integer Linear Programming,MILP,A combination of LP and IP, where some variables are integers and others are continuous.,Hard,Scheduling,4
8,Stochastic Optimization,SO,Deals with optimizing a system when there is uncertainty in the parameters or outcomes.,Hard,Risk management,3
9,Combinatorial Optimization,CO,Concerned with finding the optimal object from a finite set of objects.,Very Hard,Traveling salesman problem,2
10,Semi-Infinite Programming,SIP,A type of optimization where the number of constraints is infinite.,Very Hard,Control theory,1
