ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,team_size_decision,Decision on team size,Integer,{1,2,3,4,5,6,7,8,9,10},1,10
DV1,worker_availability_decision,Decision on worker availability,Boolean,{0,1},0,1
DV2,sprint_duration_decision,Decision on sprint duration,Integer,{1,2,3,4},1,4
DV3,skill_level_decision,Decision on skill level,Integer,{1,2,3,4,5},1,5
DV4,feature_priority_decision,Decision on feature priority,Integer,{1,2,3,4,5},1,5
DV5,epic_estimated_effort_decision,Decision on epic estimated effort,Integer,{1,2,3,4,5},1,5
DV6,user_story_points_decision,Decision on user story points,Integer,{1,2,3,4,5},1,5
DV7,blocker_severity_decision,Decision on blocker severity,Integer,{1,2,3,4,5},1,5
DV8,product_owner_availability_decision,Decision on Product Owner availability,Boolean,{0,1},0,1
DV9,sprint_retrospective_duration_decision,Decision on sprint retrospective duration,Integer,{1,2,3,4},1,4
DV10,stakeholder_influence_decision,Decision on stakeholder influence,Integer,{1,2,3,4,5},1,5
DV11,release_plan_features_decision,Decision on release plan features,Integer,{1,2,3,4,5},1,5
DV12,feature_documentation_decision,Decision on feature documentation,Boolean,{0,1},0,1
DV13,sprint_backlog_effort_decision,Decision on sprint backlog effort,Integer,{1,2,3,4,5},1,5
DV14,sprint_achievement_decision,Decision on sprint achievement,Boolean,{0,1},0,1
DV15,velocity_decision,Decision on team velocity,Integer,{1,2,3,4,5},1,5
