ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_size,Increase the number of team members,False,"max","Team","team_size",2,1.0
G1,minimize_velocity_trend,Decrease the velocity trend over time,False,"min","Velocity","trend",2,0.8
G2,maximize_team_availability,Increase the availability of team members,False,"max","Worker","availability",2,1.0
G3,maximize_story_points_completed,Maximize the number of story points completed in a sprint,False,"max","Sprint","achievement_of_goal",1,0.9
G4,maximize_velocity,Increase the average amount of work per sprint,False,"max","Velocity","avg._story_points",1,0.8
G5,maximize_feature_completion,Increase the number of features completed,False,"max","Feature","status",2,1.0
G6,maximize_user_story_completion,Increase the number of user stories completed,False,"max","UserStory","status",2,1.0
G7,maximize_task_completion,Increase the number of tasks completed,False,"max","Task","status",2,0.8
G8,minimize_blockers,Decrease the number of blockers,False,"min","Blocker","severity",2,0.9
G9,maximize_project_status,Increase the project status completion,False,"max","Project","status",2,1.0
G10,minimize_sprint_retrospective_duration,Decrease the duration of sprint retrospectives,False,"min","SprintRetrospective","duration",1,0.8
G11,maximize_sprint_goal_achievement,Increase the achievement status of sprint goals,False,"max","SprintGoal","achievement_status",2,1.0
G12,maximize_team_satisfaction,Increase team satisfaction during retrospectives,False,"max","SprintRetrospective","team_satisfaction",2,0.9
G13,minimize_velocity_variance,Decrease the variance in velocity over time,False,"min","Velocity","trend",2,0.8
G14,maximize_roadmap_completion,Increase the number of completed roadmap milestones,False,"max","Roadmap","milestones",2,1.0
