Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial-time solvable (e.g., Simplex method),Maximize profit given resource constraints.,10
2,Integer Programming,IP,Optimization where some or all variables are restricted to be integers.,NP-Hard in general,Knapsack problem.,9
3,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Varies (can be NP-Hard),Minimizing cost with nonlinear constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Polynomial-time solvable (convex case),Portfolio optimization.,7
5,Mixed-Integer Linear Programming,MILP,Optimization where some variables are continuous and others are integers.,NP-Hard in general,Production planning with discrete decisions.,6
6,Convex Optimization,CO,Optimization where the objective function and constraints are convex.,Efficiently solvable (global optimum guaranteed),Support vector machines.,5
7,Combinatorial Optimization,CO,Optimization over discrete structures.,NP-Hard in general,Traveling Salesman Problem.,4
8,Stochastic Programming,SP,Optimization under uncertainty with probabilistic constraints.,Varies (depends on problem structure),Inventory management with uncertain demand.,3
9,Dynamic Programming,DP,Optimization by breaking the problem into simpler subproblems.,Polynomial-time solvable (if subproblems overlap),Shortest path problem.,2
10,Multi-Objective Optimization,MOO,Optimization of multiple conflicting objectives.,Varies (Pareto optimality),Design trade-offs in engineering.,1
