Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial-time solvable (Simplex method, Interior-point methods),Maximize profit given resource constraints.,10
2,Integer Programming,IP,Optimization of a linear objective function subject to linear constraints where variables are restricted to integers.,NP-Hard in general,Knapsack problem,9
3,Nonlinear Programming,NLP,Optimization of a nonlinear objective function subject to nonlinear constraints.,Varies (depends on problem structure),Minimizing cost function with nonlinear constraints.,8
4,Quadratic Programming,QP,Optimization of a quadratic objective function subject to linear constraints.,Convex QP is solvable in polynomial time,Portfolio optimization.,7
5,Convex Optimization,CO,Optimization of a convex objective function subject to convex constraints.,Efficiently solvable (global optimum guaranteed),Support vector machines.,6
6,Combinatorial Optimization,COMB,Optimization problems where variables are discrete and solutions are combinations of elements.,NP-Hard in general,Traveling Salesman Problem.,5
7,Dynamic Programming,DP,Optimization by breaking the problem into simpler subproblems and storing solutions to avoid recomputation.,Pseudo-polynomial time,Shortest path problem.,4
8,Stochastic Programming,SP,Optimization under uncertainty where some parameters are random variables.,Varies (depends on problem structure),Inventory management with uncertain demand.,3
9,Multi-objective Optimization,MOO,Optimization of multiple conflicting objectives.,Varies (Pareto front analysis),Design optimization with multiple criteria.,2
10,Global Optimization,GO,Optimization where the objective function is non-convex and may have multiple local optima.,Challenging (heuristics often used),Molecular conformation.,1
