ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_size,Increase the size of the development team,False,max,Team,team_size,2,1.0
G1,maximize_velocity,Increase the average amount of work per sprint,False,max,Velocity,avg._story_points,2,1.0
G2,maximize_team_satisfaction,Improve team satisfaction during retrospectives,False,max,SprintRetrospective,team_satisfaction,2,1.0
G3,minimize_blocker_severity,Reduce the severity of blockers affecting tasks,False,min,Blocker,severity,2,1.0
G4,maximize_sprint_achievement,Increase the achievement of sprint goals,False,max,Sprint,achievement_of_goal,2,1.0
G5,maximize_feature_completion,Increase the number of completed features,False,max,Feature,status,2,1.0
G6,maximize_story_points_completed,Increase the number of story points completed per sprint,False,max,UserStory,story_points,2,1.0
G7,maximize_skill_level,Increase the skill level of team members,False,max,Skill,level,2,1.0
G8,minimize_task_effort,Reduce the effort required for tasks,False,min,Task,effort,2,1.0
G9,maximize_availability,Increase the availability of team members,False,max,Worker,availability,2,1.0
G10,maximize_project_budget_utilization,Increase the utilization of the project budget,False,max,Project,budget,2,1.0
