ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_velocity,Maximize project's velocity to deliver faster,True,max,Velocity,avg._story_points,2,1.5
G1,minimize_project_time_overrun,Minimize project time overrun to meet deadlines,False,min,Project,project_end - Project,last_updated,0,1.0
G2,maximize_team_skills,Maximize team skills for efficient development,True,max,Team,skill_level,May-Match,0.8
G3,minimize_team_turnover,Minimize team turnover to maintain stability,False,min,Team,team_size - Team,last_updated,1.0
G4,maximize_user_story_completion_rate,Maximize user story completion rate for efficient development,True,max,UserStory,status = "Completed",Must-Match,1.2
G5,minimize_development_snapshots_bugs,Minimize bugs in development snapshots for higher quality,False,min,DevelopmentSnapshot,test_status,Cannot-Match,0.5
G6,maximize_team_availability,Maximize team availability to work on tasks efficiently,True,max,Team,availability * 8,May-Match,0.7
G7,minimize_blocker_count,Minimize blockers to maintain a smooth workflow,False,min,Blocker,status = "Open",Cannot-Match,0.5
G8,maximize_stakeholder_satisfaction,Maximize stakeholder satisfaction with the project,True,max,Stakeholder,team_satisfaction,May-Match,1.0
G9,minimize_sprint_goal_effort,Minimize sprint goal effort for efficient use of resources,False,min,SprintGoal,total_effort,Must-Match,0.7
