Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming (LP),LP,Optimization problem where the objective function and constraints are linear functions.,Polynomial time solvable in primal or dual form,"Minimize c^T x subject to Ax ≤ b, x ≥ 0","Extremely common in fields like economics and engineering"
2,Nonlinear Programming (NLP),NLP,Objective function or some of the constraints are nonlinear.,NP-hard in general cases,"Minimize f(x) subject to g_i(x) ≤ 0 for i=1,...,m",Widely used in machine learning and physics
3,Integer Programming (IP),IP,Optimization where some or all variables are restricted to be integers.,NP-complete, "Maximize c^T x subject to Ax ≤ b, x ∈ Z^n","Used in scheduling and logistics"
4,Quadratic Programming (QP),QP,Objective function is quadratic, while constraints are linear.,Convex if the Hessian of the objective is positive semidefinite,"Minimize 0.5 * x^T Qx + c^T x subject to Ax ≤ b","Common in portfolio optimization and control theory"
5,Mixed-Integer Linear Programming (MILP),MILP,Mixes integer and continuous variables with linear constraints.,NP-hard,"Maximize or minimize a linear function subject to linear inequalities, some x_i ∈ Z","Used in supply chain management"
6,Combinatorial Optimization,None,Focus on problems where the solution space is discrete.,Varies widely depending on specific problem,"The traveling salesman problem","Central in computer science and operations research"
7,Convex Optimization,None,Objective function is convex, and feasible region defined by convex constraints.,Polynomial time solvable if both objective and constraints are convex,"Minimize f(x) subject to x ∈ C where f is convex","Fundamental in statistics and machine learning"
8,Stochastic Programming,None,Optimization problems involving uncertainty modeled with probability distributions.,NP-hard typically,"Decision making under uncertainty, such as financial planning","Increasingly important with big data and AI"
9,Dynamic Programming (DP),DP,Technique used for solving complex problems by breaking them down into simpler subproblems.,Depends on specific problem structure,"Optimal control and shortest path problems","Used in economics and operational research"
10,Multi-objective Optimization,None,Multiple conflicting objectives to be optimized simultaneously.,NP-hard generally,"Trade-offs between cost, time, and quality in product design","Growing importance in sustainable engineering and decision-making"
