Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming (LP),LP,A method for achieving the best outcome in a mathematical model whose requirements are represented by linear relationships.,Polynomial time,Pixie Project: maximizing profit given resource constraints,Extremely common
2,Nonlinear Programming (NLP),NLP,Optimization problems where some of the constraints or the objective function are nonlinear.,Varies,Typically NP-hard,Design optimization for systems with nonlinear dynamics,Frequent
3,Quadratic Programming (QP),QP,A special type of mathematical optimization problem where the objective function is quadratic and the constraints are linear.,Convex quadratic solvable in polynomial time,Portfolio optimization minimizing variance,Common
4,Combinatorial Optimization,Co,Optimization problems where the set of feasible solutions is discrete or can be reduced to a finite one.,NP-hard,Traveling Salesman Problem (TSP),Very common
5,Integer Programming (IP),IP,Involves linear programming with the additional constraint that some or all of the variables are integers.,Generally NP-hard,Knapsack problem,Common in logistics and scheduling
6,Mixed-Integer Linear Programming (MILP),MILP,A combination of linear programming and integer programming where some variables can be non-integer while others must be integer.,NP-hard,Supply chain optimization with discrete decisions,Frequent in industrial applications
7,Convex Optimization,Co,Optimization problems where the objective function is convex and the feasible region is a convex set.,Polynomial time,Power systems optimization,Common in economics and engineering
8,Stochastic Programming (SP),SP,Optimization models that incorporate uncertainty by considering multiple scenarios or probabilistic constraints.,Varies with problem structure,Risk-averse portfolio selection,Used in finance and operations research
9,Nash Equilibrium Optimization,NEO,Finding equilibrium strategies in games where players are optimizing their own objectives.,NP-hard,Market competition analysis,Foundational in game theory applications
10,Bilevel Programming (BP),BP,Optimization problems with two levels of decision-making, where the constraints of one level depend on the solution to another.,Generally NP-hard,Supply chain management with hierarchical decisions,Rare but critical in specific domains
