ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,budget_allocation,Budget allocated to a project.,Float,{1000, 500000},1000,500000
D1,team_size_limit,Maximum number of members allowed in a team.,Integer,{5, 20},5,20
D2,sprint_duration_in_days,Duration of each sprint in days.,Integer,{7, 30},7,30
D3,blocker_severity_level,Severity level of blockers encountered.,Float,{1, 5},1,5
D4,stakeholder_influence_level,Level of influence stakeholders have on the project.,Float,{0, 10},0,10
D5,feature_priority_order,Priority ordering for feature development.,Integer,{1, 10},1,10
D6,task_effort_estimate,Effort estimate in story points required to complete a task.,Integer,{1, 100},1,100
D7,stakeholder_relevance_score,Relevance score of stakeholders to specific features.,Float,{0, 5},0,5
D8,sprint_goal_achievement_percentage,Achievement percentage of sprint goals.,Float,{0, 100},0,100
D9,product_backlog_update_frequency,Frequency of product backlog updates measured in days.,Integer,{1, 14},1,14
