Rank,Type/Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimizes linear objective with linear constraints,Polynomial time,Scheduling, Resource allocation,10
2,Mixed-Integer Programming,MIP,Combines continuous and integer variables,NP-hard,Facility location, Supply chain design,9
3,Integer Programming,IP,Variables constrained to integers,NP-hard,Knapsack problem, Bin packing,8
4,Quadratic Programming,QP,Objective function is quadratic,Polynomial time (if convex),Portfolio optimization, Least squares,7
5,Nonlinear Programming,NLP,Objective/constraints are nonlinear,NP-hard (general case),Engineering design, Machine learning,6
6,Convex Optimization,CO,Objective/constraints form convex sets,Polynomial time (under conditions),Signal processing, Support vector machines,5
7,Dynamic Programming,DP,Decomposes problems into subproblems,Polynomial time (under structure),Inventory management, Shortest path,4
8,Stochastic Programming,SP,Incorporates uncertainty via scenarios,NP-hard (general case),Energy planning, Financial risk management,3
9,Combinatorial Optimization,COpt,Searches discrete solution spaces,NP-hard,TSP, Graph coloring,2
10,Global Optimization,GOpt,Finds global optima for non-convex problems,NP-hard (computationally heavy),Molecular structure prediction,1
