Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization with linear objective and constraints,Polynomially solvable (e.g., simplex, interior-point),Resource allocation,10
2,Mixed-Integer Programming,MIP,Combines continuous and integer variables,NP-hard (branch-and-bound, cutting planes),Supply chain optimization,9
3,Integer Programming,IP,Variables restricted to integers,NP-hard (branch-and-bound),Knapsack problem,8
4,Quadratic Programming,QP,Quadratic objective with linear constraints,Polynomial (if convex) or NP-hard,Portfolio optimization,7
5,Nonlinear Programming,NLP,Objective or constraints are nonlinear,NP-hard (gradient-based methods),Engineering design,6
6,Convex Optimization,CO,Objective and constraints are convex,Polynomially solvable (interior-point),Machine learning,5
7,Combinatorial Optimization,CO,Optimization over discrete structures,NP-hard (heuristics, metaheuristics),Traveling Salesman Problem,4
8,Dynamic Programming,DP,Decomposes problems into subproblems,Polynomial for overlapping subproblems,Shortest path,3
9,Stochastic Programming,SP,Incorporates uncertainty in parameters,NP-hard (scenario-based),Finance with risk,2
10,Global Optimization,GO,Finds global minima of non-convex problems,NP-hard (branch-and-bound, evolutionary algorithms),Chemical process design,1
