Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimizing a linear objective function subject to linear equality/inequality constraints.Polynomial Time,Resource allocation problems,10
2,Integer Programming,IP,Optimization where some variables are constrained to be integers.NP-Hard,Scheduling problems,9
3,Mixed-Integer Programming,MIP,Combines continuous and integer variables.NP-Hard,Supply chain optimization,8
4,Nonlinear Programming,NLP,Optimizing nonlinear objectives/constraints.NP-Hard,Engineering design,7
5,Convex Optimization,Convex,Optimization over convex functions/sets.Polynomial Time,Machine learning,6
6,Quadratic Programming,QP,Optimizing quadratic objectives with linear constraints.NP-Hard (if non-convex),Portfolio optimization,5
7,Stochastic Programming,Stochastic,Incorporates uncertainty in parameters.NP-Hard,Financial planning,4
8,Combinatorial Optimization,CO,Optimization over discrete structures (e.g., graphs).NP-Hard,Traveling Salesman Problem,3
9,Dynamic Programming,DP,Stage-wise optimization with overlapping subproblems.Polynomial Time (for structured cases),Inventory control,2
10,Global Optimization,GO,Finding the absolute best solution in non-convex spaces.NP-Hard,Molecular modeling,1
