ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,project_status_must_be_active,Ensure project status is active,False,,Project,status,2,1.0
C1,team_size_must_be_at_least_5,Team size must be a minimum of 5,False,,Team,team_size,2,1.0
C2,sprint_must_have_valid_end_date,Ensure sprint end date is valid,False,,Sprint,end_date,2,1.0
C3,product_backlog_must_be_active,Product Backlog must be active,False,,ProductBacklog,status,2,1.0
C4,task_must_not_be_blocked,Task must not be blocked,False,,Blocker,status,0,1.0
C5,worker_must_be_available,Worker must be available,False,,Worker,availability,2,1.0
C6,sprint_review_attendees_must_be_at_least_3,Ensure at least 3 attendees in sprint review,False,,SprintReview,attendees_count,2,1.0
C7,epic_must_be_in_active_status,Epic must be active,False,,Epic,status,2,1.0
C8,user_story_must_have_acceptance_criteria,User Story must have defined acceptance criteria,False,,UserStory,acceptance_criteria,2,1.0
C9,velocity_must_follow_trend,Velocities must align with historical trends,False,,Velocity,trend,1,0.9
