ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_size,Number of members in a team,integer,{5,10,15},5,20
D1,sprint_duration,Datespan for a sprint in days,integer,7-30,7,30
D2,story_points,Estimate of user story effort,integer,1-13,1,13
D3,blocker_severity,Severity level of a blocker,integer,1-5,1,5
D4,task_effort,Estimated effort for a task in hours,integer,1-8,1,8
D5,feature_priority,Priority level of a feature,integer,1-10,1,10
D6,velocity_average,Average velocity per sprint,integer,10-50,10,50
D7,sprint_goal_achievement_status,Percentage of sprint goal achievement,double,0-100,0,100
D8,stakeholder_influence_level,Influence level of a stakeholder,integer,1-5,1,5
D9,user_story_priority,Priority level of a user story,integer,1-5,1,5
