ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_budget,Maximize the budget allocated to a project,True,max,Project,budget,2,1.0
G1,minimize_task_effort,Minimize the effort required for tasks,True,min,Task,effort,1,0.8
G2,maximize_sprint_achievement,Maximize the achievement of sprint goals,True,max,Sprint,achievement_of_goal,2,1.2
G3,minimize_blocker_severity,Minimize the severity of blockers,True,min,Blocker,severity,2,1.0
G4,maximize_team_availability,Maximize the availability of team members,True,max,Worker,availability,1,0.9
G5,minimize_sprint_duration,Minimize the duration of sprints,True,min,Sprint,end_date,1,0.7
G6,maximize_feature_priority,Maximize the priority assigned to features,True,max,Feature,priority,2,1.1
G7,minimize_sprint_backlog_effort,Minimize total effort in the sprint backlog,True,min,SprintBacklog,total_effort,1,0.8
G8,maximize_stakeholder_relevance,Maximize stakeholder relevance to features,True,max,Stakeholder,relevance_to_feature,2,1.0
G9,maximize_sprint_goal_achievement_status,Maximize the achievement status of sprint goals,True,max,SprintGoal,achievement_status,2,1.3
