ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,assign_worker_to_task,Binary assignment of worker to task,integer,{0,1},0,1
D1,assign_team_to_project,Binary assignment of team to project,integer,{0,1},0,1
D2,assign_role_to_worker,Binary assignment of role to worker,integer,{0,1},0,1
D3,assign_skill_to_worker,Binary assignment of skill to worker,integer,{0,1},0,1
D4,assign_story_to_sprint,Binary assignment of story to sprint,integer,{0,1},0,1
D5,assign_blocker_to_task,Binary assignment of blocker to task,integer,{0,1},0,1
D6,assign_velocity_to_team,Numerical velocity assignment,real,continuous,0,100
D7,assign_effort_to_task,Numerical effort estimation,real,continuous,0,10
D8,assign_priority_to_story,Numerical priority assignment,real,continuous,0,5
D9,assign_deployment_status,Binary deployment status,integer,{0,1},0,1
D10,assign_sprint_status,Binary sprint status,integer,{0,1},0,1
D11,assign_release_status,Binary release status,integer,{0,1},0,1
D12,assign_team_size,Numerical team size,real,continuous,2,20
D13,assign_sprint_duration,Numerical sprint duration in days,real,continuous,2,30
D14,assign_story_completion,Binary user story completion,integer,{0,1},0,1
