ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G01,Maximize Team Velocity,Increase average story points completed per sprint,MaximizeVelocity,Velocity,Max,🟢
G02,Minimize Blocker Resolution Time,Reduce time to resolve blockers,MinBlockerTime,Blocker / Problem / Bug,Min,🟢
G03,Maximize Feature Completion,Complete as many features as possible within budget,MaxFeatureCompletion,Feature,Max,🟢
G04,Minimize Sprint Overrun,Keep sprint duration within planned dates,MinSprintOverrun,Sprint,Min,🟢
G05,Maximize Employee Utilization,Ensure employees are optimally allocated,MaxEmployeeUtilization,Employee,Max,🟡
G06,Maximize Skill Match,Assign tasks to employees with matching skills,MaxSkillMatch,Skill / Competence,Max,🟢
G07,Minimize Unplanned Work,Reduce unplanned tasks or bugs introduced during sprints,MinUnplannedWork,Task / Sub-Task,Min,🟡
G08,Maximize Stakeholder Satisfaction,Ensure high attendance and feedback quality in Sprint Reviews,MaxStakeholderSatisfaction,Stakeholder,Max,🟡
G09,Minimize Cost Overrun,Stay within project budget,MinCostOverrun,Project,Min,🟢
G10,Maximize Sprint Goal Achievement,Successfully achieve sprint goals,MaxSprintGoalAchievement,Sprint Goal,Max,🟢
