ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
D1,Developers Per Project,Number of developers assigned to a project,Var_Devs_Per_Project,Project,Integer,1,20
D2,Sprint Length Days,Duration of each sprint in days,Var_Sprint_Length,Sprint,Integer,7,28
D3,Stories Per Sprint,Number of user stories planned per sprint,Var_Stories_Per_Sprint,Sprint Backlog,Integer,1,50
D4,Budget Allocation Per Sprint,Portion of budget assigned to each sprint,Var_Budget_Per_Sprint,Project;Sprint,Float,0,100000
D5,Automation Coverage,Proportion of tests automated,Var_Automation_Coverage,Development Snapshot,Float,0,1
D6,Daily Scrum Count,Number of daily scrum meetings per day,Var_Daily_Scrum_Count,Daily Scrum,Integer,1,3
D7,Features Per Release,Count of features delivered in a release,Var_Features_Per_Release,Release Plan,Integer,1,10
D8,Tasks Per Story,Average number of tasks generated per user story,Var_Tasks_Per_Story,User Story,Float,1,10
D9,Test Cases Per Feature,Number of test cases written per feature,Var_Test_Cases_Per_Feature,Feature Documentation,Integer,0,200
D10,Retrospective Actions,Number of improvement actions identified per sprint,Var_Retrosp_Actions,Sprint Retrospective,Integer,0,20
