ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Lower Bound,Ensure at least 3 members per team,MinTeamSize,Team,Min,🟢
C2,Team Size Upper Bound,Limit to maximum 9 members per team,MaxTeamSize,Team,Max,🟢
C3,Budget Cap,Total budget must not exceed allocated amount,MaxBudget,Project,Max,🟢
C4,Sprint Duration Lower,Each sprint must be at least 1 week long,MinSprintLength,Sprint,Min,🟢
C5,Sprint Duration Upper,Each sprint must not exceed 4 weeks,MaxSprintLength,Sprint,Max,🟢
C6,Availability Threshold,Team member availability at least 50%,MinAvailability,Worker / Employee,Min,🟢
C7,Required Skill Coverage,Must include at least one Product Owner per project,MinPOCount,Product Owner,Min,🟢
C8,Max Parallel Sprints,No more than 3 concurrent sprints per project,MaxConcurrentSprints,Sprint,Max,🟢
C9,Epic Effort Upper,An epic’s estimated effort must not exceed capacity,MaxEpicEffort,Epic,Max,🟡
C10,Backlog Size Limit,Product Backlog entries not to exceed 200 items,MaxBacklogEntries,Product Backlog,Max,🟢
