ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Project Must Have Budget,Each project must have a defined budget,has_budget,Project,Min,🟢
C02,Team Must Have Scrum Master,Each team must be supported by one Scrum Master,has_scrum_master,Team,Min,🟢
C03,Product Owner Must Manage Backlog,Every product backlog must be managed by a product owner,has_backlog_owner,Product Backlog,Min,🟢
C04,Features Must Be in Backlog,All features should be part of a product backlog,is_in_backlog,Feature,Min,🟢
C05,User Stories Should Belong to Epics,Organize user stories under epics,is_in_epic,User Story,Min,🟡
C06,Task Must Belong to User Story,All tasks must trace back to a user story,is_in_user_story,Task / Sub-Task,Min,🟢
C07,Developers Must Have Skills,Only assign workers with matching skills to tasks,has_required_skills,Worker / Employee,Min,🟢
C08,Stakeholders Should Attend Review,Involve stakeholders in sprint review sessions,attends_review,Stakeholder,Min,🟡
C09,Sprints Must Pursue Goals,Each sprint must be tied to a sprint goal,has_goal,Sprint,Min,🟢
C10,Task Cannot Be Blocked,Tasks should ideally not have active blockers,is_blocked,Task / Sub-Task,Min,🔴
