ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Feature Delivery,Maximize the number of completed high-priority features per sprint,MaxFeatureDelivery,Feature,Max,🟢
G2,Minimize Sprint Effort Overrun,Reduce the total effort spent beyond estimation,MinEffortOverrun,Sprint,Min,🟢
G3,Maximize Team Utilization,Ensure team members are optimally utilized across tasks,MaxTeamUtilization,Team,Max,🟡
G4,Minimize Context Switching,Reduce the number of different projects assigned to a single team member,MinContextSwitch,Worker / Employee,Min,🟡
G5,Maximize Velocity Consistency,Keep velocity stable across sprints,MaxVelocityStability,Velocity,Max,🟢
G6,Minimize Blocker Frequency,Reduce the number of blockers that occur during a sprint,MinBlockers,Blocker / Problem / Bug,Min,🟢
G7,Maximize Sprint Goal Achievement,Ensure sprint goals are achieved in all sprints,MaxGoalAchievement,Sprint Goal,Max,🟢
G8,Maximize Stakeholder Satisfaction,Ensure that stakeholders are satisfied during reviews,MaxStakeholderSatisfaction,Stakeholder,Max,🟡
G9,Minimize Time-to-Release,Reduce the time from feature inception to deployment,MinTimeToRelease,Feature,Min,🟢
G10,Maximize Certified Skills Coverage,Ensure tasks are assigned to workers with certified skills,MaxSkillCoverage,Skill / Competence,Max,🟢
