Key,Url,p0_ThinkTime,p1_ThinkTime,p2_ThinkTime,p3_ThinkTime,p4_ThinkTime,p5_ThinkTime,p6_ThinkTime,p7_ThinkTime,p8_ThinkTime
v1,https://chatgpt.com/share/689a6a56-941c-8000-b02d-0d5440eb9f9d,-1,-1,-1,-1,-1,-1,14,23,35
v2,https://chatgpt.com/share/689a6a81-c33c-8000-aba0-554b93fd9433,-1,-1,-1,-1,-1,-1,11,11,7
v3,https://chatgpt.com/share/689a6a8b-7918-8000-b333-b8c50a27cea1,-1,-1,-1,-1,-1,-1,22,23,6
v4,https://chatgpt.com/share/689a6a97-84c8-8000-bd0f-cab8d90a199a,-1,-1,-1,-1,-1,-1,15,52,12
v5,https://chatgpt.com/share/689a6aa5-6068-8000-ac5d-276dd64753f5,-1,-1,-1,-1,-1,-1,8,31,14
v6,https://chatgpt.com/share/689a6ab2-4018-8000-997b-66d74a3b08d2,-1,-1,-1,-1,-1,-1,8,29,20
v7,https://chatgpt.com/share/689a6abc-e328-8000-b284-a6662a13af16,-1,-1,-1,-1,-1,-1,11,22,10
v8,https://chatgpt.com/share/689a6ac6-e480-8000-b1ca-80061bb74a57,-1,-1,-1,-1,-1,-1,32,20,8
v9,https://chatgpt.com/share/689a6ad1-5b00-8000-b595-c54a0bc0ee9c,-1,-1,-1,-1,-1,-1,17,23,-1
v10,https://chatgpt.com/share/689a6adb-dc3c-8000-81e6-da0bbfdab2b9,-1,-1,-1,-1,-1,-1,-1,41,14
