ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_average_velocity,Maximize the team's average story points per sprint,True,max,Velocity,avg._story_points,1,1.0
G1,minimize_blocker_severity,Minimize cumulative severity of all blockers,True,min,Blocker,severity,0,1.0
G2,minimize_feature_effort,Prefer features with lower estimated effort,True,min,Feature,estimated_effort,1,0.8
G3,maximize_feature_priority,Emphasize higher-priority features,True,max,Feature,priority,1,1.0
G4,minimize_sprint_backlog_total_effort,Keep total sprint effort manageable,True,min,SprintBacklog,total_effort,1,1.0
G5,maximize_sprint_goal_achievement,Maximize rate of sprint goal achievement,True,max,Sprint,achievement_of_goal,2,1.0
G6,minimize_task_effort,Prefer smaller tasks to improve flow,True,min,Task,effort,1,0.7
G7,maximize_worker_availability,Maximize available capacity across workers,True,max,Worker,availability,1,0.9
G8,minimize_number_of_tasks,Reduce number of tasks in the sprint backlog,True,min,SprintBacklog,number_of_tasks,1,0.6
G9,maximize_release_plan_coverage,Maximize number of features covered by a release,True,max,ReleasePlan,included_features,1,0.8
G10,minimize_wip_on_board,Reduce work-in-progress on the Scrum board,True,min,ScrumBoard,number_of_cards,1,0.6
G11,maximize_stakeholder_relevance,Maximize focus on features relevant to stakeholders,True,max,Stakeholder,relevance_to_feature,1,0.4
