ModelKey,MessageIndex,Predicted_Keywords,Matched_Keywords,Precision,Recall,F1,TP,FP,FN,Text
chat-gpt-strategy1-v12,1,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,2,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,3,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,4,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,5,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,6,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,7,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,8,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,9,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,10,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,11,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,12,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,13,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,14,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,15,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,16,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,17,,,0.0,0.0,0.0,0,0,235,<empty>
chat-gpt-strategy1-v12,18,,,0.0,0.0,0.0,0,0,235,<empty>
