ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Binary decision to assign a specific worker to a specific task,Integer,"{0,1}",0,1
DV1,sprint_duration,The length of a sprint in days,Integer,,7,30
DV2,team_size,The number of workers assigned to a team,Integer,,3,9
DV3,story_points,The number of story points assigned to a user story,Integer,,1,20
DV4,task_effort_hours,The estimated effort for a task in hours,Integer,,1,40
DV5,feature_priority,The priority level of a feature (e.g., 1-5),Integer,,1,5
DV6,worker_availability_pct,The percentage of time a worker is available for project work,Float,,0.0,1.0
DV7,budget_allocated,The amount of budget allocated to a specific feature,Float,,0.0,1000000.0
DV8,sprint_goal_achieved,Binary status indicating if the sprint goal was met,Integer,"{0,1}",0,1
DV9,blocker_resolved,Binary decision to allocate resources to resolve a blocker,Integer,"{0,1}",0,1
