ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of the team,True,max,Team,avg._story_points,2,1.0
G1,minimize_project_budget,Minimize the total budget spent on the project,True,min,Project,budget,2,1.5
G2,minimize_blocker_severity,Minimize the total severity of all active blockers,True,min,Blocker,severity,2,2.0
G3,maximize_feature_priority,Maximize the total priority of features in the next release,True,max,Feature,priority,2,1.0
G4,maximize_worker_availability,Maximize the total availability of all workers,True,max,Worker,availability,2,0.8
G5,minimize_sprint_duration,Minimize the total duration of all sprints,True,min,Sprint,duration_(min),2,0.5
G6,maximize_stakeholder_influence,Maximize the total influence of satisfied stakeholders,True,max,Stakeholder,influence_level,2,1.2
G7,minimize_task_effort,Minimize the total estimated effort for all tasks in the sprint backlog,True,min,SprintBacklog,total_effort,2,1.0
G8,maximize_team_satisfaction,Maximize the average team satisfaction from retrospectives,True,max,SprintRetrospective,team_satisfaction,2,1.0
G9,minimize_sprint_goal_failure,Minimize the number of sprint goals not achieved,True,min,SprintGoal,achievement_status,1,1.5
