ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary variable: 1 if a worker is assigned to a team, else 0.,binary,"{0,1}",0,1
DV1,assign_team_to_project,Binary variable: 1 if a team is assigned to a project, else 0.,binary,"{0,1}",0,1
DV2,assign_user_story_to_sprint,Binary variable: 1 if a user story is assigned to a sprint, else 0.,binary,"{0,1}",0,1
DV3,select_feature_for_release,Binary variable: 1 if a feature is selected for a release plan, else 0.,binary,"{0,1}",0,1
DV4,assign_task_to_worker,Binary variable: 1 if a task is assigned to a worker, else 0.,binary,"{0,1}",0,1
DV5,start_project,Binary variable: 1 if a project is to be started, else 0.,binary,"{0,1}",0,1
DV6,resolve_blocker,Binary variable: 1 if a blocker is actively being resolved, else 0.,binary,"{0,1}",0,1
DV7,set_feature_priority,Integer variable representing the priority level of a feature.,integer,"{1,2,3,4,5}",1,5
DV8,set_task_effort,Integer variable for the estimated effort (e.g., in hours) for a task.,integer,"",1,40
DV9,assign_skill_to_task,Binary variable: 1 if a task requires a specific skill, else 0.,binary,"{0,1}",0,1
