ModelKey,MessageIndex,Predicted_Keywords,Matched_Keywords,Precision,Recall,F1,TP,FP,FN,Text
gemini-strategy1-v10,1,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,2,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,3,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,4,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,5,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,6,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,7,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,8,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,9,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,10,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,11,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,12,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,13,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,14,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,15,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,16,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,17,,,0.0,0.0,0.0,0,0,235,<empty>
gemini-strategy1-v10,18,,,0.0,0.0,0.0,0,0,235,<empty>
