"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","project_start_date","Project start date","Date","{2023-01-01, 2023-01-31}",0,31
"D1","team_size","Team size","Integer","{1, 10}",1,10
"D2","sprint_duration","Sprint duration","Integer","{1, 4}",1,4
"D3","task_effort","Task effort","Integer","{1, 100}",1,100
"D4","feature_priority","Feature priority","Integer","{1, 5}",1,5
"D5","blocker_severity","Blocker severity","Integer","{1, 5}",1,5
"D6","stakeholder_influence_level","Stakeholder influence level","Integer","{1, 5}",1,5
"D7","product_owner_availability","Product owner availability","Float","{0.0, 1.0}",0.0,1.0
"D8","scrum_master_experience","Scrum master experience","Integer","{1, 10}",1,10
"D9","development_snapshot_test_status","Development snapshot test status","Boolean","{0, 1}",0,1
"D10","sprint_goal_achievement","Sprint goal achievement","Float","{0.0, 1.0}",0.0,1.0
"D11","team_velocity","Team velocity","Integer","{1, 100}",1,100
"D12","sprint_retrospective_improvement_actions","Sprint retrospective improvement actions","Integer","{0, 10}",0,10
