ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,team_size_condition,Ensure team size is between 3 and 9 members,False,min,Team,team_size,2,1.0
C1,product_owner_availability_condition,Ensure product owner availability is above 80%,False,min,ProductOwner,availability,2,1.0
C2,scrum_master_experience_condition,Ensure scrum master experience is above 2 years,False,min,ScrumMaster,experience,2,1.0
C3,sprint_duration_condition,Ensure sprint duration is between 1 and 4 weeks,False,min,Sprint,end_date,2,1.0
C4,feature_priority_condition,Ensure feature priority is high or medium,False,min,Feature,priority,1,1.0
C5,task_status_condition,Ensure task status is in progress or done,False,min,Task,status,1,1.0
C6,blocker_status_condition,Ensure blocker status is resolved or in progress,False,min,Blocker,status,1,1.0
C7,sprint_goal_achievement_condition,Ensure sprint goal achievement is above 80%,False,min,SprintGoal,achievement_status,2,1.0
C8,release_plan_status_condition,Ensure release plan status is in progress or done,False,min,ReleasePlan,status,1,1.0
C9,roadmap_objectives_condition,Ensure roadmap objectives are aligned with project goals,False,min,Roadmap,objectives,1,1.0
C10,sprint_review_attendees_condition,Ensure sprint review attendees include all stakeholders,False,min,SprintReview,attendees_count,2,1.0
C11,development_snapshot_test_status_condition,Ensure development snapshot test status is passed or failed,False,min,DevelopmentSnapshot,test_status,1,1.0
C12,feature_documentation_condition,Ensure feature documentation is up-to-date and accurate,False,min,FeatureDocumentation,change_log,1,1.0
