ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,team_assignment,Team assignment to projects,{0,1},0,1
DV1,worker_assignment,Worker assignment to teams,{0,1},0,1
DV2,sprint_goal_selection,Sprint goal selection,{0,1},0,1
DV3,feature_selection,Feature selection for sprints,{0,1},0,1
DV4,task_assignment,Task assignment to team members,{0,1},0,1
DV5,blocker_resolution,Blocker resolution,{0,1},0,1
DV6,scrum_board_configuration,Scrum board configuration,{0,1},0,1
DV7,release_plan_configuration,Release plan configuration,{0,1},0,1
DV8,development_snapshot_creation,Development snapshot creation,{0,1},0,1
DV9,sprint_review_conduct,Sprint review conduct,{0,1},0,1
DV10,retrospective_conduct,Retrospective conduct,{0,1},0,1
DV11,product_owner_availability,Product owner availability,{0,1},0,1
DV12,scrum_master_experience,Scrum master experience level,integer,0,10
DV13,team_velocity,Team velocity level,integer,0,100
