ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,project_start_date,Project start date,Integer,{0,1},0,1
D1,team_assignment,Team assignment,Integer,{0,1},0,1
D2,feature_priority,Feature priority,Integer,{1,2,3},1,3
D3,blocker_resolution_date,Blocker resolution date,Integer,{0,1},0,1
D4,sprint_goal_status,Sprint goal status,Integer,{0,1},0,1
D5,task_status,Task status,Integer,{0,1},0,1
D6,stakeholder_influence_level,Stakeholder influence level,Integer,{1,2,3},1,3
D7,product_owner_availability,Product owner availability,Integer,{0,1},0,1
D8,sprint_retrospective_improvement_actions,Sprint retrospective improvement actions,Integer,{0,1},0,1
D9,release_plan_included_features,Release plan included features,Integer,{0,1},0,1
