ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Whether a worker is assigned to a task,{0,1},0,1
DV1,select_feature_for_release,Whether a feature is included in a release,{0,1},0,1
DV2,set_sprint_duration,Duration of a sprint in days,Integer,,7,21
DV3,allocate_budget_to_project,Budget allocated to a project,Integer,,10000,1000000
DV4,assign_skill_to_worker,Whether a skill is assigned to a worker,{0,1},0,1
DV5,set_task_effort,Effort required for a task,Integer,,1,40
DV6,set_sprint_goal_achievement,Achievement status of a sprint goal,Integer,,0,100
DV7,set_team_location,Location of the team,String,,,
DV8,set_blocker_severity,Severity level of a blocker,Integer,,1,5
DV9,set_stakeholder_relevance,Relevance of a feature to a stakeholder,Integer,,1,10
DV10,set_documentation_quality,Quality level of feature documentation,Integer,,1,5
DV11,set_team_satisfaction,Team satisfaction score after retrospective,Integer,,1,10
DV12,set_velocity_avg,Average story points completed per sprint,Integer,,0,100
DV13,set_epic_priority,Priority level of an epic,Integer,,1,5
DV14,set_user_story_status,Status of a user story (0=todo, 1=done),Integer,,0,1
