ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Whether a worker is assigned to a task,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Whether a feature is selected for the sprint,Integer,{0,1},0,1
DV2,set_sprint_goal_achievement,The achievement status of a sprint goal,Integer,{0,1},0,1
DV3,allocate_budget_to_project,The amount of budget allocated to a project,Real,[0,1000000],0,1000000
DV4,set_task_effort,The effort required for a task,Real,[0,100],0,100
DV5,set_blocker_severity,The severity level of a blocker,Integer,{1,2,3},1,3
DV6,set_team_size,The number of members in a team,Integer,[3,9],3,9
DV7,set_velocity_trend,The trend of the team's velocity,Integer,{-1,0,1},-1,1
DV8,set_user_story_priority,The priority level of a user story,Integer,[1,5],1,5
DV9,set_sprint_duration,The duration of a sprint in days,Integer,[10,14],10,14
DV10,set_worker_availability,The availability status of a worker,Integer,{0,1},0,1
