Key,Url,p1_ThinkTime,p2_ThinkTime,p3_ThinkTime
v1,https://chatgpt.com/share/689a4a86-5114-8000-8955-f4801b6c5735,33,50,-1
v2,https://chatgpt.com/share/689a4ab9-9204-8000-ba17-b4a096b6452e,47,40,23
v3,https://chatgpt.com/share/689a4adf-4bec-8000-b973-39fbf443a479,31,38,40
v4,https://chatgpt.com/share/689a4b03-8fb4-8000-afef-c0650d171719,18,45,25
v5,https://chatgpt.com/share/689a4b1f-08d8-8000-8eab-05f03b4a46a8,18,57,16
v6,https://chatgpt.com/share/689a4b3b-b32c-8000-b19b-272f5f3db049,17,34,33
v7,https://chatgpt.com/share/689a4b5c-7230-8000-86db-20919faa0fdb,9,46,33
v8,https://chatgpt.com/share/689a4b82-e9b4-8000-9390-89b2c2fda651,22,54,17
v9,https://chatgpt.com/share/689a4b9d-f2c8-8000-83ee-e9d0def665e1,33,58,45
v10,https://chatgpt.com/share/689a4bbb-2128-8000-bcbb-28abeefeee53,45,40,27
v11,https://chatgpt.com/share/689a4bd7-d884-8000-b717-930eb20fbf58,32,29,28
v12,https://chatgpt.com/share/689a4bee-f03c-8000-a458-9c9702aaa01f,39,35,-1
v13,https://chatgpt.com/share/689a4c17-ef18-8000-b2d8-ce14a31eb7f8,25,35,19
v14,https://chatgpt.com/share/689a4c33-5ac0-8000-af0a-046314c938d2,38,29,16
v15,https://chatgpt.com/share/689a4c4d-4628-8000-87aa-2133a67f01fe,17,43,46
v16,https://chatgpt.com/share/689a4c68-9d54-8000-ab14-e74d21648bf3,26,39,13
v17,https://chatgpt.com/share/689a4c90-9dc4-8000-ab33-5e482fc09cf7,40,92,30
v18,https://chatgpt.com/share/689a4c9a-b004-8000-907c-04563ce1dcd9,7,81,22
v19,https://chatgpt.com/share/689a4caf-6cd4-8000-8d4b-9bd933841190,46,47,-1
v20,https://chatgpt.com/share/689a4ccb-7a98-8000-a7f5-05abad4d05ce,72,38,12
