ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,"x_{us,sp}=1 if user story us is planned in sprint sp",Binary,"{0,1}",0,1
DV1,schedule_task_in_sprint,"z_{tsk,sp}=1 if task tsk is scheduled in sprint sp",Binary,"{0,1}",0,1
DV2,assign_task_to_worker,"y_{tsk,w}=1 if worker w executes task tsk",Binary,"{0,1}",0,1
DV3,allocate_budget_to_feature,"b_{f} budget allocated to feature f",Real,"R_{+}",0,1000000000
DV4,sprint_goal_achieved,"g_{sp}=1 if sprint sp achieves its goal",Binary,"{0,1}",0,1
DV5,include_feature_in_release_plan,"r_{f}=1 if feature f is included in the release plan",Binary,"{0,1}",0,1
DV6,sprint_utilization,"u_{sp} used capacity (story points) in sprint sp",Real,"R_{+}",0,1000000
DV7,capacity_team_per_sprint,"k_{sp} selected capacity (story points) for sprint sp",Integer,"Z_{+}",0,1000000
DV8,include_epic,"e_{ep}=1 if epic ep is included/active for planning",Binary,"{0,1}",0,1
DV9,stakeholder_participation_in_review,"m_{sr,sh}=1 if stakeholder sh participates in sprint review sr",Binary,"{0,1}",0,1
DV10,task_blocked,"o_{tsk}=1 if task tsk is blocked in current planning",Binary,"{0,1}",0,1
DV11,resolve_blocker,"rbl_{bl}=1 if blocker bl is resolved before scheduling",Binary,"{0,1}",0,1
DV12,scrumboard_card_count,"c_{sp} number of cards on Scrum Board for sprint sp",Integer,"Z_{+}",0,100000
DV13,assign_user_story_to_sprint_backlog,"s_{us,sbl}=1 if user story us is in sprint backlog sbl",Binary,"{0,1}",0,1
