Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Linear Programming,LP,Optimization of a linear objective function subject to linear equality and inequality constraints.,Polynomial time (e.g., Simplex, Interior Point),Resource allocation in manufacturing,10
2,Nonlinear Programming,NLP,Optimization where the objective or constraints are nonlinear functions.,Varies (convex: tractable; non-convex: hard),Trajectory optimization in robotics,9
3,Integer Programming,IP,Objective and constraints are linear, but variables must take integer values.,NP-hard,Production scheduling with discrete units,8
4,Mixed-Integer Linear Programming,MILP,Combines linear programming with some integer-restricted variables.,NP-hard,Supply chain network design,8
5,Convex Optimization,CO,Optimizing a convex objective over convex constraints; global optimum guaranteed.,Polynomial time (if structure known),Portfolio optimization in finance,8
6,Quadratic Programming,QP,Objective function is quadratic; constraints are linear.,Polynomial time (if convex),Model predictive control,7
7,Dynamic Programming,DP,Optimization over multiple stages with recursive structure.,Pseudo-polynomial or exponential,Shortest path in graphs,7
8,Combinatorial Optimization,COpt,Optimizing over discrete structures (e.g., graphs, sets).,Often NP-hard,Traveling Salesman Problem,7
9,Stochastic Programming,SP,Objective or constraints involve random variables; seeks robust or expected performance.,Hard (depends on structure),Energy planning under demand uncertainty,6
10,Robust Optimization,RO,Optimizes against worst-case uncertainty in parameters.,Tractable if uncertainty set is simple,Portfolio selection under market uncertainty,6
11,Multi-objective Optimization,MOO,Optimizes multiple conflicting objectives simultaneously.,No single solution; Pareto front,Engineering design trade-offs,6
12,Global Optimization,GO,Search for the global optimum in non-convex or multimodal landscapes.,Generally intractable,Protein folding simulations,5
13,Geometric Programming,GP,A special form of nonlinear optimization with posynomial objectives/constraints.,Convex after transformation,CMOS circuit design,5
14,Quadratic Constrained Quadratic Programming,QCQP,Quadratic objective and quadratic constraints.,Convex: tractable; non-convex: hard,Radar beamforming,5
15,Second-Order Cone Programming,SOCP,Optimization over second-order (Lorentz) cones.,Polynomial time,Robust least squares,5
16,Semidefinite Programming,SDP,Optimization over positive semidefinite matrices.,Polynomial time (interior point),Max-Cut approximation (Goemans-Williamson),5
17,Network Optimization,NO,Optimization on graph/network structures (flows, paths, cuts).,Polynomial time for many variants,Minimum cost flow in logistics,5
18,Optimal Control,OC,Optimizing control inputs over time for dynamical systems.,Varies (PMP, HJB, MPC),Spacecraft trajectory planning,5
19,Calculus of Variations,CoV,Optimization over functions (infinite-dimensional spaces).,Analytical or numerical,Predicting minimal surfaces,4
20,Heuristic and Metaheuristic Optimization,HMO,Non-exact methods (e.g., GA, SA, PSO) for hard problems.,No guarantees; fast approximations,Scheduling with complex constraints,4
